label,n,n_pos,prevalence,pr_auc,auroc,brier,cal_slope,cal_intercept,seed,test_client
FedAvg,188,62,0.32978723404255317,0.6177597396675457,0.797363031233999,0.17480846329598293,0.9931543043360833,-0.5049290680800529,19,TRINITY PHARMACY -AVENUES
FedProx,188,62,0.32978723404255317,0.6177597396675457,0.797363031233999,0.17480750560136638,0.9932620867741205,-0.5050282637780106,19,TRINITY PHARMACY -AVENUES
FedAvg-equal,188,62,0.32978723404255317,0.6062603602356804,0.7967229902713774,0.17544588497768457,1.0714918222479342,-0.49850522810034875,19,TRINITY PHARMACY -AVENUES
FedAvg,122,45,0.36885245901639346,0.5153991177728207,0.7134199134199135,0.22382133997361428,0.6246415806123582,-0.5497390302338108,19,WATERSHED PHARMACY
FedProx,122,45,0.36885245901639346,0.5153991177728207,0.7134199134199135,0.22382204606435108,0.6246087708717126,-0.5497398813443047,19,WATERSHED PHARMACY
FedAvg-equal,122,45,0.36885245901639346,0.5214770764537928,0.7212121212121212,0.22022655566540494,0.6837308192928749,-0.5498125963563247,19,WATERSHED PHARMACY
FedAvg,110,42,0.38181818181818183,0.5496333302403823,0.648109243697479,0.24972197776128136,0.518403234054454,-0.5218303979443434,23,ASHBRITTLE   PHARMACY
FedProx,110,42,0.38181818181818183,0.5496333302403823,0.648109243697479,0.2497195129554839,0.5184680928170595,-0.5218633045924636,23,ASHBRITTLE   PHARMACY
FedAvg-equal,110,42,0.38181818181818183,0.5541088656536773,0.6400560224089635,0.24958617926206988,0.5122286426541107,-0.5054589029353784,23,ASHBRITTLE   PHARMACY
FedAvg,114,35,0.30701754385964913,0.43440971556264985,0.65750452079566,0.2565693279404716,0.4753212048310347,-0.8440273628855715,23,BALLANTYNE PARK PHARMACY
FedProx,114,35,0.30701754385964913,0.4347181790290081,0.6578661844484629,0.25656294110088956,0.4753674838512765,-0.8440460292514448,23,BALLANTYNE PARK PHARMACY
FedAvg-equal,114,35,0.30701754385964913,0.43980845766755383,0.6614828209764919,0.25256434414133505,0.5113149510208815,-0.8462756890377229,23,BALLANTYNE PARK PHARMACY
FedAvg,288,150,0.5208333333333334,0.7130329035489584,0.7393236714975846,0.2025520121177396,0.8246700878384121,-0.0013697023454421204,23,CIMAS BORROWDALE OFFICE PARK PHARMACY
FedProx,288,150,0.5208333333333334,0.7130329035489584,0.7393236714975846,0.2025569730545628,0.8246645250571014,-0.0013289757250238914,23,CIMAS BORROWDALE OFFICE PARK PHARMACY
