experiment,seed,scenario,scenario_label,round,n_min_attend,n_attend_vm,active_clients,auroc_holdout,comm_cost_bidir
cimas_cold_vm,19,C0,No incentive,8,5062,4608,23,0.78668,966
cimas_cold_vm,19,C1,Random allocation,8,5062,5062,23,0.78676,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,8,5062,5062,23,0.78654,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,8,5062,5062,23,0.78654,966
cimas_cold_vm,19,C0,No incentive,9,4974,4517,23,0.78696,966
cimas_cold_vm,19,C1,Random allocation,9,4974,4974,23,0.78677,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,9,4974,4974,23,0.78683,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,9,4974,4974,23,0.7867,966
cimas_cold_vm,19,C0,No incentive,10,4996,4551,23,0.78731,966
cimas_cold_vm,19,C1,Random allocation,10,4996,4996,23,0.78702,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,10,4996,4996,23,0.78693,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,10,4996,4996,23,0.78694,966
cimas_cold_vm,19,C0,No incentive,11,4910,4450,23,0.78623,966
cimas_cold_vm,19,C1,Random allocation,11,4910,4910,23,0.78658,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,11,4910,4910,23,0.78642,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,11,4910,4910,23,0.78643,966
cimas_cold_vm,19,C0,No incentive,12,5041,4597,23,0.78651,966
cimas_cold_vm,19,C1,Random allocation,12,5041,5041,23,0.78632,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,12,5041,5041,23,0.78638,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,12,5041,5041,23,0.78639,966
cimas_cold_vm,19,C0,No incentive,13,4989,4529,23,0.78637,966
cimas_cold_vm,19,C1,Random allocation,13,4989,4989,23,0.78635,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,13,4989,4989,23,0.78617,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,13,4989,4989,23,0.78615,966
cimas_cold_vm,19,C0,No incentive,14,5084,4620,23,0.78672,966
cimas_cold_vm,19,C1,Random allocation,14,5084,5084,23,0.78632,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,14,5084,5084,23,0.78658,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,14,5084,5084,23,0.78658,966
cimas_cold_vm,19,C0,No incentive,15,5050,4574,23,0.78693,966
cimas_cold_vm,19,C1,Random allocation,15,5050,5050,23,0.78676,966
cimas_cold_vm,19,C2,FL nonattendance-risk ranking,15,5050,5050,23,0.7867,966
cimas_cold_vm,19,C3,Cross-fitted DR uplift ranking,15,5050,5050,23,0.7867,966
cimas_cold_vm,19,C0,No incentive,16,5100,4634,23,0.78684,966
cimas_cold_vm,19,C1,Random allocation,16,5100,5100,23,0.78713,966
