seed,condition,round,client_id,n_train,n_test,prevalence,auroc
7,cold_fed,9,HEALTHLINK PHARMACY,218,55,0.509090909090909,0.9523809523809523
7,cold_fed,9,KENLINK KENSINGTON PHARMACY,122,31,0.41935483870967744,0.7564102564102564
7,cold_fed,9,MEDICINE CHEST,94,24,0.3333333333333333,0.703125
7,cold_fed,9,ROWLAND SQUARE PHARMACY,1584,397,0.4836272040302267,0.7788363821138211
7,cold_fed,9,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,96,25,0.48,0.8974358974358974
7,cold_fed,9,TRINITY PHARMACY -AVENUES,150,38,0.34210526315789475,0.8461538461538461
7,cold_fed,9,WATERSHED PHARMACY,97,25,0.36,0.7916666666666667
7,cold_fed,10,ASHBRITTLE   PHARMACY,88,22,0.36363636363636365,0.6428571428571429
7,cold_fed,10,BALLANTYNE PARK PHARMACY,91,23,0.30434782608695654,0.6071428571428571
7,cold_fed,10,CIMAS BORROWDALE OFFICE PARK PHARMACY,230,58,0.5172413793103449,0.6833333333333332
7,cold_fed,10,CIMAS BULAWAYO PHARMACY,858,215,0.5209302325581395,0.864251040221914
7,cold_fed,10,CIMAS CLINIC -MASVINGO PHARMACY,236,60,0.48333333333333334,0.8031145717463848
7,cold_fed,10,CIMAS FIFE AVENUE PHARMACY,387,97,0.422680412371134,0.740418118466899
7,cold_fed,10,CIMAS FOURTH STREET PHARMACY,1812,454,0.4008810572687225,0.8059752747252747
7,cold_fed,10,CIMAS HCC  MUTARE PHARMACY,650,163,0.5153374233128835,0.7320675105485233
7,cold_fed,10,CIMAS HCC CHINHOYI ST. PHARM,1077,270,0.4444444444444444,0.842
7,cold_fed,10,CIMAS HCC CHITUNGWIZA PHARMACY,495,124,0.5403225806451613,0.7436501702016235
7,cold_fed,10,CIMAS HCC GWERU PHARMACY,324,82,0.5365853658536586,0.8427033492822966
7,cold_fed,10,CIMAS HIGH GLEN PHARMACY,671,168,0.42857142857142855,0.8304398148148149
7,cold_fed,10,CIMAS KWEKWE CLINIC- PHARMACY,302,76,0.32894736842105265,0.8125490196078431
7,cold_fed,10,CIMAS MANRESA - PHARRMACY,351,88,0.45454545454545453,0.6958333333333333
