seed,condition,round,n_providers,mean_auroc,min_auroc,max_auroc,var_auroc,iqr_auroc,q25_auroc,q75_auroc
7,warm_fed,57,23,0.7929899264543281,0.5892857142857143,0.937830687830688,0.007503294600434487,0.09381982842228098,0.7551117955093429,0.8489316239316239
7,warm_fed,58,23,0.793430085869427,0.5892857142857143,0.9365079365079364,0.007517372602344591,0.09404586820528271,0.7548857557263412,0.8489316239316239
7,warm_fed,59,23,0.7940055753565168,0.5892857142857142,0.9365079365079364,0.0073723352474046044,0.09368892627239145,0.7551871421036769,0.8488760683760683
7,warm_fed,60,23,0.7933071278920457,0.5803571428571428,0.9365079365079364,0.0074682881907831185,0.09353024634472429,0.7552624886980108,0.8487927350427351
7,warm_local,31,23,0.79230267319593,0.5803571428571428,0.9444444444444444,0.008019918293326968,0.10086722259149594,0.7468250851008117,0.8476923076923076
7,warm_local,32,23,0.7919636338676544,0.5714285714285714,0.9457671957671958,0.008323100589551493,0.10259857426766306,0.7434890325699438,0.8460876068376069
7,warm_local,33,23,0.7934193611126399,0.5803571428571428,0.9470899470899472,0.008178599374094086,0.1023277275357879,0.7436209904129301,0.845948717948718
7,warm_local,34,23,0.795243043876951,0.5982142857142856,0.9470899470899472,0.007661918922746678,0.10111794632067428,0.7446918827391548,0.845809829059829
7,warm_local,35,23,0.7962355602918036,0.625,0.9470899470899472,0.007300321480822453,0.1003682535864141,0.7453304643623038,0.8456987179487179
7,warm_local,36,23,0.7973326471324296,0.6339285714285714,0.9444444444444444,0.006998077732491906,0.10020955030934187,0.7461555480425985,0.8463650983519404
7,warm_local,37,23,0.7971966004126351,0.6339285714285714,0.9444444444444444,0.007204645302971912,0.10017292934106337,0.7462864723683382,0.8464594017094016
7,warm_local,38,23,0.7973311711526543,0.625,0.9444444444444444,0.007429679615692053,0.10514096648809845,0.7467941296657477,0.8519350961538461
7,warm_local,39,23,0.798892850118254,0.6339285714285714,0.9457671957671958,0.007270062388305068,0.10706939275851046,0.7473573646945628,0.8544267574530733
7,warm_local,40,23,0.7985048767707541,0.625,0.9457671957671958,0.007389147211878952,0.10706939275851046,0.7473573646945628,0.8544267574530733
7,warm_local,41,23,0.7989239329240023,0.625,0.9457671957671958,0.00728351413613124,0.1065846561291468,0.7481411443861274,0.8547258005152742
7,warm_local,42,23,0.7981365377751637,0.6160714285714286,0.9457671957671958,0.007403274004230639,0.10774872801107338,0.7482164909804614,0.8559652189915348
7,warm_local,43,23,0.7981652844938844,0.6071428571428572,0.9444444444444444,0.007541782263084898,0.10776869471991413,0.7493466898954704,0.8571153846153845
7,warm_local,44,23,0.7979151192393658,0.5982142857142857,0.9444444444444444,0.007722140684987596,0.10695642167855801,0.7501589629368265,0.8571153846153845
7,warm_local,45,23,0.7965915132536125,0.5982142857142857,0.9444444444444444,0.007443596312229922,0.10634911819898263,0.750812273041356,0.8571613912403386
7,warm_local,46,23,0.796279349704221,0.5982142857142857,0.9431216931216932,0.007439138747757759,0.10589938194811377,0.7509629662300239,0.8568623481781377
7,warm_local,47,23,0.7959279711339926,0.5982142857142857,0.941798941798942,0.0073461204961081114,0.10470679281719897,0.7515574692365368,0.8562642620537357
7,warm_local,48,23,0.7959488481769433,0.5892857142857143,0.941798941798942,0.007635013593533833,0.10455609962853107,0.7517081624252047,0.8562642620537357
7,warm_local,49,23,0.7953221596906043,0.5892857142857143,0.9404761904761904,0.00754303405781214,0.1047216400687172,0.7518416650472195,0.8565633051159367
7,warm_local,50,23,0.7954197605271593,0.5892857142857143,0.9391534391534392,0.007837763553594767,0.10905127089874078,0.7511870434185208,0.8602383143172616
7,warm_local,51,23,0.7944540533508829,0.5892857142857143,0.9391534391534392,0.007748635044476578,0.10613927000109835,0.7510221212392403,0.8571613912403386
7,warm_local,52,23,0.7951496883435875,0.5892857142857143,0.9391534391534392,0.007932695173656155,0.10906160541569965,0.7513951253535311,0.8604567307692308
7,warm_local,53,23,0.794880906566258,0.5892857142857143,0.9391534391534392,0.007981059551777487,0.1090060276842938,0.751450703084937,0.8604567307692308
7,warm_local,54,23,0.7949821155992999,0.5892857142857143,0.9391534391534392,0.007944030907785206,0.10904183655277144,0.7514148942164594,0.8604567307692308
7,warm_local,55,23,0.7945591177693949,0.5892857142857143,0.937830687830688,0.007937386839043435,0.10705502430568503,0.7518632449250843,0.8589182692307693
7,warm_local,56,23,0.7945090723093842,0.5982142857142857,0.937830687830688,0.007728508748934859,0.10690160124117387,0.7520166679895954,0.8589182692307693
7,warm_local,57,23,0.7937520188724819,0.5892857142857142,0.9365079365079364,0.007706514812226579,0.10413612042940468,0.7520848953968744,0.8562210158262791
7,warm_local,58,23,0.7933446349295096,0.5892857142857142,0.9351851851851852,0.007853836618292476,0.10543120871426392,0.751088850174216,0.8565200588884799
7,warm_local,59,23,0.7932854783598365,0.5892857142857142,0.9351851851851852,0.007858564135572843,0.10464108066040123,0.7512808921036769,0.8559219727640781
7,warm_local,60,23,0.79293259761841,0.5892857142857142,0.9365079365079364,0.007989656333200226,0.10438361193663637,0.7515383608274417,0.8559219727640781
11,cold_fed,1,23,0.755762783877406,0.5416666666666666,0.924705882352941,0.00715238975542579,0.08617488986424837,0.7191306089743589,0.8053054988386072
11,cold_fed,2,23,0.7560876911718895,0.5416666666666666,0.9239215686274508,0.007160691863308802,0.0858455820201971,0.7196514423076923,0.8054970243278894
11,cold_fed,3,23,0.7565893906953075,0.5416666666666666,0.924705882352941,0.007149087857201316,0.0860208619069116,0.7196886446886446,0.8057095065955562
11,cold_fed,4,23,0.756124986468893,0.5416666666666666,0.9262745098039216,0.007236545258923774,0.09343642428570931,0.7125457875457875,0.8059822118314968
11,cold_fed,5,23,0.7562978040646735,0.5416666666666666,0.9262745098039216,0.007179956917098357,0.09977673572903711,0.7061355311355311,0.8059122668645682
