dataset,attack,f,f_pct,defense,krum_applicable,auroc_mean,auroc_lo95,auroc_hi95,degradation_mean,degradation_lo95,degradation_hi95,bsr_mean,bsr_lo95,bsr_hi95,conv_fail_rate,comm_params_round
cimas,none,0,0.0,krum,True,0.7919720000000001,0.7916866499999999,0.79239335,0.0,0.0,0.0,,,,0.0,966
cimas,none,0,0.0,trimmed_mean,True,0.791976,0.7917419999999998,0.792206,0.0,0.0,0.0,,,,0.0,966
cimas,random_gauss,2,8.7,clipping,True,0.787956,0.7845161,0.790814,-0.0031839999999999868,-0.006556000000000006,-0.00042399999999993555,,,,0.0,966
cimas,random_gauss,2,8.7,coord_median,True,0.7901659999999999,0.7899139999999999,0.79048725,-1.6000000000016e-05,-0.0001080000000000414,0.000136000000000025,,,,0.0,966
cimas,random_gauss,2,8.7,fedavg,True,0.7916259999999999,0.790548,0.792994,0.00048600000000000867,-0.0006019999999999914,0.001796000000000042,,,,0.0,966
cimas,random_gauss,2,8.7,krum,True,0.7914420000000001,0.79025265,0.7923247999999999,-0.0005300000000000082,-0.0015900000000000248,0.0,,,,0.0,966
cimas,random_gauss,2,8.7,trimmed_mean,True,0.79177,0.79142,0.7921670000000001,-0.00020599999999997286,-0.0004579999999999362,2.8000000000005797e-05,,,,0.0,966
cimas,random_gauss,5,21.7,clipping,True,0.78422,0.7777160000000001,0.789724,-0.0069199999999999704,-0.013481999999999994,-0.0014259999999999494,,,,0.0,966
cimas,random_gauss,5,21.7,coord_median,True,0.7904599999999999,0.78991585,0.791022,0.00027799999999997824,-0.0003750500000000251,0.0009299999999999864,,,,0.0,966
cimas,random_gauss,5,21.7,fedavg,True,0.777596,0.75818,0.788758,-0.013544000000000023,-0.03291200000000003,-0.0022860000000000324,,,,0.0,966
cimas,random_gauss,5,21.7,krum,True,0.7919720000000001,0.7916866499999999,0.79239335,0.0,0.0,0.0,,,,0.0,966
cimas,random_gauss,5,21.7,trimmed_mean,True,0.79115,0.7906926,0.791646,-0.0008259999999999934,-0.0012520000000000087,-0.00042759999999997337,,,,0.0,966
cimas,random_gauss,7,30.4,clipping,True,0.7847959999999998,0.774228,0.790526,-0.006344000000000016,-0.016808,-0.0005740000000000522,,,,0.0,966
cimas,random_gauss,7,30.4,coord_median,True,0.790262,0.789636,0.790916,8.00000000000134e-05,-0.0006080000000000085,0.000770000000000004,,,,0.0,966
cimas,random_gauss,7,30.4,fedavg,True,0.782972,0.770034,0.7915,-0.008167999999999998,-0.021001999999999965,0.00039999999999997817,,,,0.0,966
cimas,random_gauss,7,30.4,krum,True,0.791132,0.789862,0.792126,-0.0008399999999999963,-0.001988000000000012,0.0,,,,0.0,966
cimas,random_gauss,7,30.4,trimmed_mean,True,0.7911620000000001,0.790696,0.7916779999999999,-0.0008140000000000036,-0.0012880000000000003,-0.0003059999999999841,,,,0.0,966
